Epoch 1: loss=1.842, accuracy=0.56
Epoch 2: loss=1.203, accuracy=0.44
Epoch 3: loss=0.891, accuracy=0.58
Epoch 4: loss=0.764, accuracy=0.58
Epoch 5: loss=0.701, accuracy=0.62
Epoch 6: loss=0.698, accuracy=0.60
Epoch 7: loss=0.695, accuracy=0.60
Epoch 8: loss=0.694, accuracy=0.60
Epoch 9: loss=0.692, accuracy=0.60
Epoch 10: loss=0.692, accuracy=0.60
Epoch 11: loss=0.692, accuracy=0.60
Epoch 12: loss=0.692, accuracy=0.60
Epoch 13: loss=0.692, accuracy=0.60
Epoch 14: loss=0.692, accuracy=0.60
Epoch 15: loss=0.692, accuracy=0.60
Epoch 15: loss=0.692, accuracy=0.60
